ir;eng
soiléirigh;to elucidate
soláthair;to gather/procure/provide/supply
sonraigh;to distinguish/perceive/remark
spall;to spall (small chip of fragment)
spalp;to burst forth
spoch;to castrate
spreag;to urge/inspire
spáráil;to spare
spíon;to exhaust
spól;to carve (meat)
srac;to drag/extort/strive
sraon;to deflect
sreangaigh;to wire
srian;to curb/restrain
sroich;to arrive/reach
sruthlaigh;to rinse
stad;to stop
steall;to dash/spatter/squirt
steiriligh;to sterilize
stiúir;to manage/navigate/steer
stoith;to extract/uproot
streachail;to pull/drag/struggle
stócáil;to stoke
suaimhnigh;to placate/quieten
suaith;to massage/shuffle
suigh;to sit
suiteáil;to install
síl;to think/intend
síolraigh;to breed
sóinseáil;to change
súigh;to suck/absorb
tabhaigh;to deserve
tabhair;to give
tacht;to choke/strangle/throttle
tairngir;to foretell/prophesy
taiscéal;to explore/examine/reconnoiter/reconnoitre
taispeáin;to show
taithigh;to haunt
tanaigh;to dilute
taom;to teem
tarchuir;to transmit
tarlaigh;to happen/occur
tarraing;to pull
tarrtháil;to rescue/retrieve/salvage
tarscaoil;to waive
teagasc;to instruct/teach
teann;to tighten
teasc;to amputate/sever
teasdíon;to insulate
teilg;to fling/hurl
teimhligh;to darken/stain/tarnish
teorannaigh;to limit/restrict
timpeallaigh;to surround
tiomnaigh;to bequeath/dedicate
tiomsaigh;to compile
tiomáin;to drive
tionlaic;to accompany
tionscain;to begin/institute
tiontaigh;to capsize/convert/invert/turn
tionóil;to gather/convene/assemble
tirimghlan;to dry-clean
tit;to fall
tiubhaigh;to thicken
tochail;to dig
togair;to choose
togh;to cull/elect/select
toghair;to call
toll;to bore/hollow
tomhais;to measure/weigh
tosaigh;to start
traoch;to exhaust/wear out
trasnaigh;to heckle/interrupt/intersect
treascair;to annihilate/flatten/overwhelm/topple
treisigh;to reinforce
treáigh;to digest
truailligh;to contaminate/doctor/pollute
tréig;to abandon/desert/fade/forsake/jilt
tuairteáil;to collide/smash
tuar;to forecast/foresee/foreshadow/predict
tuaslaig;to dissolve
tuig;to comprehend/realize/understand
tuill;to deserve/earn
tuirling;to descend
tum;to submerge
táblaigh;to tabulate
táthaigh;to bind/solder/unite/weld
téacht;to come
tóg;to take
tóraigh;to pursue
uchtaigh;to adopt
uimhrigh;to number
uirísligh;to humiliate
uiscigh;to irrigate
ullmhaigh;to prepare
úraigh;to freshen/refresh/sweeten
urchoill;to inhibit
vacsaínigh;to vaccinate
